Entry	Gene Ontology IDs
A0A087X1C5	GO:0005506; GO:0005737; GO:0005739; GO:0006082; GO:0006805; GO:0008395; GO:0016020; GO:0016712; GO:0019369; GO:0020037; GO:0042178; GO:0043231; GO:0070330
A0A0B4J2F0	GO:0005741; GO:0006986; GO:1900101
A0A0B4J2F2	GO:0000287; GO:0004674; GO:0005524; GO:0005737; GO:0006468; GO:0035556; GO:0042149; GO:0106310
A0A0C5B5G6	GO:0001649; GO:0003677; GO:0005615; GO:0005634; GO:0005739; GO:0006357; GO:0032147; GO:0033687; GO:0043610; GO:0048630; GO:0071902; GO:0072522; GO:0140297; GO:2001145
A0A0K2S4Q6	GO:0004888; GO:0005576; GO:0005886; GO:0030593
A0A0U1RRE5	GO:0000932; GO:0000956; GO:0006397; GO:0010607
A0A1B0GTW7	GO:0004222; GO:0005737; GO:0006508; GO:0007155; GO:0008233; GO:0016020; GO:0046872; GO:0061966
A0A5B9	GO:0002250; GO:0003823; GO:0006910; GO:0006911; GO:0006958; GO:0009897; GO:0034987; GO:0042105; GO:0042571; GO:0042742; GO:0045087; GO:0046631; GO:0050852; GO:0050853; GO:0050871
A0AV02	GO:0006884; GO:0015379; GO:0016020; GO:0055064; GO:0055075; GO:1902476; GO:1990573
A0AV96	GO:0002244; GO:0003723; GO:0003729; GO:0005634; GO:0016554
A0AVF1	GO:0005813; GO:0005929; GO:0007224; GO:0015031; GO:0030992; GO:0035082; GO:0035720; GO:0035735; GO:0036064; GO:0042073; GO:0043005; GO:0060271; GO:0061512; GO:0097542; GO:0097546; GO:0120170; GO:1905198
A0AVI4	GO:0000209; GO:0005783; GO:0005789; GO:0006986; GO:0016567; GO:0030433; GO:0030970; GO:0046872; GO:0061630
A0AVK6	GO:0000122; GO:0000785; GO:0000978; GO:0000981; GO:0000987; GO:0001217; GO:0001227; GO:0001890; GO:0002040; GO:0003700; GO:0005654; GO:0005730; GO:0005829; GO:0006357; GO:0032466; GO:0032877; GO:0033301; GO:0042802; GO:0045944; GO:0048144; GO:0060707; GO:0060718; GO:0070365; GO:0090575; GO:1990837
A0AVT1	GO:0004839; GO:0005524; GO:0005634; GO:0005737; GO:0005829; GO:0006511; GO:0006974; GO:0007612; GO:0007626; GO:0016567; GO:0019780; GO:0021764; GO:0021766; GO:0032446; GO:0060996
A0FGR8	GO:0005509; GO:0005544; GO:0005789; GO:0005829; GO:0005886; GO:0006869; GO:0006897; GO:0008429; GO:0016020; GO:0031210; GO:0031234; GO:0035091; GO:0042802; GO:0044232; GO:0045296; GO:0061817; GO:0140268
A0FGR9	GO:0005509; GO:0005544; GO:0005789; GO:0005886; GO:0006869; GO:0008429; GO:0031210; GO:0031234; GO:0035091; GO:0044232; GO:0061817; GO:0140268
A0JLT2	GO:0003712; GO:0005634; GO:0016592; GO:0032968; GO:0045944; GO:0051123; GO:0060261; GO:0070847
A0JNW5	GO:0005769; GO:0005829; GO:0034498; GO:0042803; GO:0062069; GO:0120009; GO:0120013
A0JP26	
A0M8Q6	GO:0002250; GO:0003823; GO:0005576; GO:0005615; GO:0005886; GO:0006910; GO:0006911; GO:0006958; GO:0009897; GO:0034987; GO:0042571; GO:0042742; GO:0045087; GO:0050853; GO:0050871; GO:0071735; GO:0071738; GO:0071742; GO:0071745; GO:0071753
A0MZ66	GO:0005737; GO:0005874; GO:0005875; GO:0006930; GO:0007265; GO:0007409; GO:0015630; GO:0019894; GO:0030027; GO:0030175; GO:0030424; GO:0030426; GO:0031252; GO:0032488; GO:0038007; GO:0042802; GO:0043204; GO:0044295; GO:0045296; GO:0045773; GO:0048471; GO:0048812; GO:0051015; GO:0060327; GO:0061163; GO:0061573; GO:2000114; GO:2001224
A0PJK1	GO:0005412; GO:0005886; GO:0006814; GO:0008645; GO:0015370; GO:0016020; GO:0070062
A0PJY2	GO:0000978; GO:0001227; GO:0003700; GO:0005654; GO:0005829; GO:0006357; GO:0007411; GO:0008285; GO:0021772; GO:0021797; GO:0043697; GO:0045666; GO:0045893; GO:0046872; GO:0050767; GO:1904936
A0PK00	GO:0005637; GO:0016020; GO:0045444; GO:0051291
A0PK11	GO:0007605; GO:0032421; GO:0060088; GO:0060171; GO:0120045
A1A4S6	GO:0005096; GO:0005829; GO:0005886; GO:0007010; GO:0007165; GO:0043066; GO:0048471; GO:0051056
A1A4Y4	GO:0000045; GO:0000139; GO:0000421; GO:0001891; GO:0001934; GO:0003924; GO:0005525; GO:0005739; GO:0005789; GO:0005794; GO:0005829; GO:0006952; GO:0006954; GO:0010508; GO:0010800; GO:0019901; GO:0030670; GO:0031648; GO:0033138; GO:0035458; GO:0042742; GO:0042995; GO:0043254; GO:0043539; GO:0045087; GO:0050700; GO:0050821; GO:0050829; GO:0051434; GO:0060335; GO:0061635; GO:0061739; GO:0061762; GO:0070431; GO:0071222; GO:0071902; GO:0098586; GO:1901098
A1A519	GO:0003677; GO:0005634; GO:0006366; GO:0009566; GO:0045893; GO:0046872
A1A5B4	GO:0005229; GO:0005254; GO:0005886; GO:0006629; GO:0006821; GO:0017128; GO:0034220; GO:0051649; GO:0055085; GO:0061589; GO:0061590; GO:0061591; GO:1902476; GO:1902939
A1A5C7	GO:0006811; GO:0016020; GO:0022857
A1E959	GO:0001934; GO:0005576; GO:0005615; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0006954; GO:0010628; GO:0031214; GO:0032956; GO:0042475; GO:0043547; GO:0060054; GO:0071944; GO:0072686; GO:0099512
A1KXE4	GO:0005886; GO:0030424; GO:0048471; GO:0070062
A1KZ92	GO:0004519; GO:0004601; GO:0005615; GO:0005783; GO:0005886; GO:0006979; GO:0020037; GO:0042744; GO:0046872; GO:0140825
A1L0T0	GO:0000287; GO:0001561; GO:0003984; GO:0005789; GO:0005948; GO:0009097; GO:0009099; GO:0016020; GO:0016829; GO:0030976; GO:0050660
A1L167	GO:0000209; GO:0005524; GO:0005634; GO:0005654; GO:0005886; GO:0061631
A1L190	GO:0000801; GO:0005634; GO:0005694; GO:0006915; GO:0007130; GO:0007131; GO:0007283; GO:0035234; GO:0043065; GO:0051094; GO:0051301; GO:2000243
A1L390	GO:0003779; GO:0005085; GO:0005829; GO:0005856; GO:0030334; GO:0051056; GO:2000114
A1L3X0	GO:0005783; GO:0005789; GO:0006636; GO:0009922; GO:0019367; GO:0030148; GO:0034625; GO:0034626; GO:0035338; GO:0042761; GO:0102336; GO:0102756
A1L4H1	GO:0001968; GO:0005044; GO:0005615; GO:0005737; GO:0006952; GO:0016020; GO:0031012; GO:0032717; GO:0042494; GO:0043236; GO:0045087; GO:0050829; GO:0050830; GO:0050840; GO:0062023
A1L4K1	GO:0005634; GO:0016529; GO:0048471
A1X283	GO:0001501; GO:0001654; GO:0002102; GO:0005737; GO:0006801; GO:0007507; GO:0010314; GO:0016176; GO:0022617; GO:0030154; GO:0032266; GO:0042169; GO:0042554; GO:0042995; GO:0060348; GO:0060612; GO:0070161; GO:0071800; GO:0072657; GO:0080025
A1XBS5	GO:0005543; GO:0005634; GO:0005737; GO:0005743; GO:0005814; GO:0007007; GO:0019898; GO:0030061; GO:0035108; GO:0035869; GO:0036064; GO:0045880; GO:0060271; GO:0061024; GO:0097546; GO:0097749
A1Z1Q3	GO:0005634; GO:0005654; GO:0005730; GO:0006974; GO:0007420; GO:0009617; GO:0016798; GO:0019213; GO:0042278; GO:0051725; GO:0140291; GO:0140293
A2A288	GO:0000932; GO:0003729; GO:0004521; GO:0005634; GO:0005654; GO:0005737; GO:0006402; GO:0030308; GO:0036464; GO:0046872; GO:0061158; GO:0090502; GO:2000134
A2A2Y4	GO:0005856; GO:0008092; GO:0016020; GO:0031032
A2IDD5	GO:0003009; GO:0005737; GO:0005814; GO:0016529; GO:0030030; GO:0042383; GO:0048471; GO:0098535; GO:0098536
A2PYH4	GO:0000712; GO:0003676; GO:0003678; GO:0005524; GO:0005634; GO:0016887
A2RRP1	GO:0000149; GO:0000956; GO:0005783; GO:0005789; GO:0005829; GO:0006890; GO:0015031; GO:0016020; GO:0070939; GO:2000623
A2RTX5	GO:0004829; GO:0005524; GO:0005634; GO:0005737; GO:0006435
A2RU14	GO:0005929; GO:0016020
A2RU30	GO:0005102; GO:0005737; GO:0005789; GO:0005829; GO:0008104; GO:0008180; GO:0010387; GO:0033077; GO:0033089; GO:0036398; GO:0036399; GO:0043274; GO:0050862
A2RU49	GO:0005759; GO:0006554; GO:0016310; GO:0019202; GO:0047992
A2RUB1	GO:0005634; GO:0005737; GO:0006302; GO:0007130; GO:0007141; GO:0007144; GO:0007286; GO:0048255; GO:0048599; GO:0051310; GO:0051729; GO:0070192
A2RUB6	GO:0001578; GO:0001750; GO:0001895; GO:0001917; GO:0005813; GO:0005829; GO:0005874; GO:0005929; GO:0008017; GO:0030054; GO:0034451; GO:0036064; GO:0042803; GO:0050908; GO:0060271; GO:0090543; GO:1903564
A2RUC4	GO:0000049; GO:0005506; GO:0005737; GO:0016706; GO:0031591; GO:0042803; GO:0102524
A2RUH7	GO:0001701; GO:0030017; GO:0036379
A2VDJ0	GO:0005737; GO:0005783; GO:0005886; GO:0016020; GO:0016055; GO:0033088; GO:0090090
A2VEC9	GO:0002684; GO:0005615; GO:0007155; GO:0007399; GO:0030154; GO:0030414; GO:0031012; GO:0048584
A3KMH1	GO:0005524; GO:0005737; GO:0005739; GO:0005777; GO:0016887
A4D0S4	GO:0005201; GO:0005576; GO:0009887; GO:0009888; GO:0016477; GO:0034446; GO:0043256; GO:0070831
A4D126	GO:0005829; GO:0007411; GO:0008299; GO:0035269; GO:0042803; GO:0047349; GO:0070567
A4D161	
A4D1B5	GO:0001540; GO:0005802; GO:0030162; GO:1902004
A4D1E9	GO:0000287; GO:0003723; GO:0003924; GO:0005525; GO:0005694; GO:0005730; GO:0005739; GO:0042254
A4D1P6	GO:0005829; GO:0031313; GO:0031901; GO:0031902; GO:0035014; GO:0042176; GO:0043551; GO:0045022
A4D1T9	GO:0001669; GO:0004252; GO:0005576; GO:0005634; GO:0005737; GO:0006508; GO:0007339; GO:0008354; GO:0016477; GO:0043231; GO:0051604; GO:0070613; GO:1905516; GO:2000344
A4D256	GO:0000226; GO:0000922; GO:0004722; GO:0004725; GO:0005730; GO:0005737; GO:0005789; GO:0005813; GO:0006470; GO:0007096; GO:0008138; GO:0017018; GO:0032467; GO:0060271; GO:0072686
A4D2B0	GO:0004521; GO:0005634; GO:0005737; GO:0005829; GO:0008334; GO:0031124; GO:0046872; GO:1900087
A4D2B8	GO:0006298; GO:0016301; GO:0016310; GO:0016446; GO:0016887; GO:0032300; GO:0032389; GO:0140664
A4GXA9	GO:0000712; GO:0003677; GO:0004519; GO:0006302; GO:0031297; GO:0031573; GO:0043596; GO:0048476; GO:1905347
A4UGR9	GO:0003281; GO:0007015; GO:0030018; GO:0045216; GO:0051015; GO:0051393; GO:0055008; GO:0070161
A5D8T8	GO:0005615; GO:0005768; GO:0005783; GO:0005794; GO:0030247
A5D8V6	GO:0000813; GO:0006612; GO:0006623; GO:0010008; GO:0016236; GO:0031902; GO:0036258; GO:0039702; GO:0043162; GO:0043328; GO:0048306; GO:0070062; GO:0090148
A5D8V7	GO:0003341; GO:0005576; GO:0005814; GO:0005929; GO:0005930; GO:0007283; GO:0007368; GO:0007420; GO:0030317; GO:0035253; GO:0035264; GO:0036064; GO:0036158; GO:0060287; GO:0061371; GO:0090660; GO:0097542; GO:0120228; GO:1902017
A5D8W1	GO:0005737; GO:0007288; GO:0007608; GO:0030317; GO:0042048; GO:0097225; GO:0097730; GO:1902093; GO:1905516; GO:1990834
A5LHX3	GO:0004175; GO:0004298; GO:0005634; GO:0005829; GO:0005839; GO:0006508; GO:0008233; GO:0010498; GO:0019774; GO:0033077; GO:0043374
A5PKW4	GO:0005085; GO:0005543; GO:0007165; GO:0031175; GO:0032012; GO:0032154; GO:0032587; GO:0043197; GO:0098999; GO:0099092
A5PLL7	GO:0005783; GO:0005789; GO:0006631; GO:0008611; GO:0016491; GO:0050207
A5X5Y0	GO:0005231; GO:0005886; GO:0007165; GO:0007210; GO:0007268; GO:0022850; GO:0030594; GO:0034220; GO:0042391; GO:0043005; GO:0045202; GO:0050877; GO:0098662; GO:0098794; GO:1904315; GO:1904602
A5YKK6	GO:0000122; GO:0000288; GO:0000289; GO:0000932; GO:0001829; GO:0003723; GO:0005615; GO:0005634; GO:0005778; GO:0005829; GO:0010606; GO:0016020; GO:0017148; GO:0019904; GO:0030014; GO:0030015; GO:0030331; GO:0033147; GO:0035195; GO:0042974; GO:0048387; GO:0060090; GO:0060213; GO:0061014; GO:0070016; GO:0090503; GO:1900153; GO:2000036
A5YM72	GO:0005524; GO:0005829; GO:0006548; GO:0016887; GO:0035499; GO:0046872; GO:0047730; GO:0102102
A6BM72	GO:0010842; GO:0016323; GO:0034109
A6H8Y1	GO:0000126; GO:0001156; GO:0005654; GO:0070898
A6H8Z2	
A6NC98	GO:0001819; GO:0005654; GO:0005737; GO:0005783; GO:0005794; GO:0005813; GO:0005829; GO:0008017; GO:0016020; GO:0030705; GO:0031122; GO:0042102; GO:0042832; GO:0050870; GO:0051959
A6NCS4	GO:0000785; GO:0000978; GO:0000981; GO:0001228; GO:0003700; GO:0005634; GO:0006357; GO:0008284; GO:0021854; GO:0030154; GO:0030855; GO:0035050; GO:0043066; GO:0043586; GO:0045944; GO:0048565; GO:0050673; GO:0050679; GO:0055014; GO:0055015; GO:0060037; GO:0060039; GO:1904019; GO:1904036
A6ND01	GO:0005576; GO:0005886; GO:0007155; GO:0007338; GO:0007342; GO:0009897; GO:0035036; GO:0038023
A6ND36	GO:0005634; GO:0005829; GO:0007165; GO:0019901; GO:0030509
A6NDB9	GO:0001960; GO:0005524; GO:0005737; GO:0005886; GO:0008063; GO:0008360; GO:0032496
A6NDE4	GO:0003723; GO:0005634; GO:0005654; GO:0005681; GO:0005730; GO:0006397; GO:0007283; GO:0008380; GO:0008584; GO:0048026
A6NDG6	GO:0000121; GO:0000287; GO:0004725; GO:0005737; GO:0006114; GO:0006650; GO:0008967; GO:0016791; GO:0043136; GO:0043262; GO:0045721
A6NDV4	GO:0005634; GO:0005739; GO:0005783; GO:0005886; GO:0007160; GO:0007346; GO:0009986
A6NED2	GO:0005694; GO:0005829; GO:0005886; GO:0006325
A6NEM1	
A6NFA1	GO:0004222; GO:0005886; GO:0006508; GO:0016020; GO:0016055; GO:0017147; GO:0030178; GO:0031090; GO:0031334; GO:0046872; GO:1904808
A6NFQ2	GO:0005886; GO:0010359; GO:0010360; GO:0030054; GO:0030335; GO:0044325; GO:0090314
A6NFX1	GO:0003376; GO:0005886; GO:0006869; GO:0008643; GO:0015293; GO:0046624; GO:0071702; GO:1901731
A6NFY7	GO:0005654; GO:0005739; GO:0005759; GO:0034553
A6NGG8	GO:0001750; GO:0001917; GO:0005929; GO:0007601; GO:0035845; GO:0050896; GO:0120199; GO:1903546
A6NGQ2	GO:0003723; GO:0005634; GO:0005737; GO:0005938; GO:0007015; GO:0009880; GO:0031297; GO:0032880; GO:0032991; GO:0035088; GO:0045179; GO:0045836; GO:0051293; GO:0051302; GO:0070201; GO:0106333; GO:1905168; GO:2000781
A6NGU5	GO:0002682; GO:0005886; GO:0006508; GO:0006750; GO:0006751; GO:0031179; GO:0036374; GO:0050727; GO:0070062; GO:0102953; GO:0103068; GO:1901750
A6NHL2	GO:0000226; GO:0000278; GO:0005200; GO:0005525; GO:0005737; GO:0005874; GO:0016787; GO:0046872
A6NHR9	GO:0001740; GO:0003677; GO:0005524; GO:0006302; GO:0009048; GO:0016887; GO:0035861; GO:0042803; GO:0043584; GO:0045739; GO:0051276; GO:0060820; GO:2000042; GO:2001034
A6NI15	GO:0000785; GO:0000978; GO:0000981; GO:0001228; GO:0001707; GO:0001756; GO:0003682; GO:0005634; GO:0006357; GO:0007379; GO:0030154; GO:0046983; GO:1990837
A6NI61	GO:0000139; GO:0005886; GO:0007517; GO:0007520; GO:0014905; GO:0045026; GO:1904206
A6NI73	GO:0005576; GO:0005615; GO:0005886; GO:0009986; GO:0019221; GO:0032396; GO:0032695; GO:0032696; GO:0032731; GO:0032733; GO:0032755; GO:0032760; GO:0043410; GO:0045087; GO:0050729; GO:0050867; GO:0051928; GO:0061098
A6NIH7	GO:0005829; GO:0005929; GO:0007399; GO:0008289; GO:0035869; GO:0042953; GO:0060271
A6NIX2	GO:0000932; GO:0001666; GO:0003714; GO:0005634; GO:0005667; GO:0005912; GO:0006355; GO:0007010; GO:0022604; GO:0030030; GO:0035195; GO:0035331; GO:0046872; GO:2000637
A6NJ46	GO:0000122; GO:0000785; GO:0000978; GO:0000981; GO:0001227; GO:0001228; GO:0001709; GO:0005634; GO:0006357; GO:0030154; GO:0030857; GO:0035883; GO:0043565; GO:0045944; GO:1990837
A6NJ78	GO:0005739; GO:0005759; GO:0070475; GO:0071424
A6NK06	GO:0002760; GO:0005739; GO:0006952; GO:0006954; GO:0007566; GO:0032088; GO:0032480; GO:0034136; GO:0034144; GO:0035458; GO:0042803; GO:0045824; GO:0047613; GO:0050728; GO:0051607; GO:0071219; GO:0071222; GO:0071346; GO:0071347; GO:0071356; GO:0071393; GO:0072573; GO:2000379
A6NK58	GO:0005739; GO:0005759; GO:0009249; GO:0016874; GO:0019752; GO:0033819; GO:2000376
A6NK89	GO:0000922; GO:0005815; GO:0005829; GO:0007165; GO:0007399; GO:0050769; GO:2000179
A6NKB5	GO:0016020
A6NL88	GO:0007214; GO:0007613; GO:0014069; GO:0032281; GO:0032591; GO:0035255; GO:0045211; GO:0048172; GO:0050811; GO:0097112; GO:0098839; GO:0098962; GO:0098985; GO:0106040; GO:1900273; GO:1904717; GO:2000311
A6NMY6	GO:0001786; GO:0002020; GO:0005262; GO:0005509; GO:0005544; GO:0005546; GO:0005604; GO:0005615; GO:0005634; GO:0005886; GO:0008092; GO:0019834; GO:0031982; GO:0042470; GO:0046790; GO:0070062
A6NMZ7	GO:0005576; GO:0005581; GO:0007155; GO:0030198; GO:0031012; GO:0062023
